1	@iancollinsuk @apple I like what you did there...!
1	@Apple Safari Reader owns the worldwide web
1	i love this. so much. thank you @apple.  http://t.co/Ui8lOEzX
1	Loving the new iPod update @apple
1	Just apply for a job at @Apple hope they call me lol
1	God Bless @YouTube @apple for  #appletv & our bad ass system. LOVING #PrincessOfChina. GB to @coldplay & @rihanna too :)
1	NYTimes: Coach Wants to See You. And Bring Your iPad. http://t.co/J2FTiEnG #iPad @apple set red 42 red 42 hut hut @NFL wish I had an #iPad
1	Mad props to the @apple employee that didn't charge me to replace the back plate on my iPhone! Made my day!
0	#Siri is kinda slow tho impressed it got my accent and commands first time out. @apple
1	Love my new I0S5 @Apple updates. Just when I think it can't get any better somehow it simplifies my life more. That's right-it's an Apple.
1	RT @MattyRiesz: @kathrynyee You were right an iPhone is a must have. #addicted {WELCOME TO THE @APPLE CLUB}
1	Currently ordering a BRAND NEW MACBOOK PRO!!! Bahhh... my MacBook is 5 years old. I'll miss it. But it's time. cc: @Apple -
1	Wow. Great deals on refurbed #iPad (first gen) models. RT: Apple offers great deals on refurbished 1st-gen iPads http://t.co/ukWOKBGd @Apple
0	Attending #mobilemem  listening to James Kelley from @apple .
1	Updated my iOS and started using cloud services. Pretty bad ass @apple my #iPhone 3GS still the champ.
1	I  @Apple http://t.co/a8on3IAa
1	The 16 strangest things Siri has said so far. I am SOOO glad that @Apple gave Siri a sense of humor! http://t.co/TWAeUDBp via @HappyPlace
1	i used to be with @blackberry over 4-5yrs .. after all the disruptions and lost gigs thx to their service im moving to @apple #iphone
1	4 millions in a weekend 16 #iPhone4S per second. This is madness?! no this is @Apple !!!
1	Said to have laid out the next 4 years @apple.Jobs last iPhone is 2012 not the iPhone4S. iPhone(4G/5) 2012 is magical! http://t.co/DxxklUBp
1	@apple @jilive @DanielPink: Apple sells 4 million iPhone 4S units in first weekend ... Steve Jobs brilliance lives on for ever! #iphone #RVA
1	@Twitter CEO points to @Apple as 'corporate mentor' as @iOS signups triple http://t.co/GCY8iphN
0	Dear @apple yesterday you sucked. Today you're awesome! Thanks LP Apple store crash and burn mich ave store.
1	iPads Replace Bound Playbooks on Some N.F.L. Teams http://t.co/2UXAWKwf @apple @nytimes
1	RT @SawyerHartman: I FU*KING LOVE YOU @APPLE this phone is the best thing ever !! SIRI = BEST THING EVER MADE
0	I am now the proud owner of @apple tv thanks to big bro @steveeadie and family!!
1	@Wisconsin_Mommy @Apple I'd totally email the company... I always get great service at our @Apple store!
1	From which companies do you experience the best customer service aside from @zappos and @apple?
1	#iCloud set up was flawless and works like a champ! To the Cloud @Apple
1	Bravo @Apple! http://t.co/BgoTzj7K
1	@azee1v1 @apple @umber AppStore is well done so is iTunes on the mobile devices.  I was talking about desktop app.
1	Sorry @BlackBerry I'm moving to @Apple.
0	Proof that my dad loves my sis more. RT @AnnaCorinne16 woke up to my dad at my door w my new iphone. he surprised me & went to @apple!
0	@apple my iPhone is charging very slowly!!!!!
1	making the switch from @Android to @Apple #iphone #iphone4S #smartphone #stevejobs (@ Apple Store) http://t.co/kj6pJvkH
1	@RIM you made it too easy for me to switch to @Apple iPhone. See ya!
1	you are so blessed. @apple
0	Hello again iPhone 4!!! Thank you @apple! Although this should have never broken in the first place! #tsk
1	So I am using my work PC (NEVER EVER) to get a feel for it; it has the worst speakers ever!! @apple you have spoiled me!! #imamac
0	@apple store NY
1	Day305 I'm thankful for the great customer service received today from @Apple via phone CS new phone on the way #365daysofgratefulness
0	Goodbye @Evernote Welcome #NotesintheCloud thx @Apple
1	@Apple downloads of iOS 5 are proving popular with users  -- http://t.co/NSHLfiUX
